Player Id,Name,Position,Year,Team,Games Played,Kickoffs,Kickoff Yards,Out of Bounds Kickoffs,Yards Per Kickoff,Touchbacks,Touchback Percentage,Kickoffs Returned,Average Returned Yards,Kickoffs Resulting in TDs,On Sides Kicks,On Sides Kicks Returned
phildawson/2500351,"Dawson, Phil",K,2006,Cleveland Browns,16,61,"3,887",0,63.7,11,18,48,21.9,1,2,0
phildawson/2500351,"Dawson, Phil",K,2005,Cleveland Browns,16,61,"3,653",0,59.9,3,4.9,56,21.1,0,3,0
phildawson/2500351,"Dawson, Phil",K,2004,Cleveland Browns,16,69,"4,172",1,60.5,5,7.2,59,22.6,1,4,1
phildawson/2500351,"Dawson, Phil",K,2003,Cleveland Browns,13,54,"3,255",2,60.3,1,1.9,51,20.4,0,1,0
phildawson/2500351,"Dawson, Phil",K,2002,Cleveland Browns,16,77,"4,597",1,59.7,7,9.1,67,20.4,0,1,1
phildawson/2500351,"Dawson, Phil",K,2001,Cleveland Browns,16,71,"4,068",1,57.3,2,2.8,65,18.7,0,2,0
phildawson/2500351,"Dawson, Phil",K,2000,Cleveland Browns,16,49,"2,966",0,60.5,6,12.2,42,24.1,0,1,0
phildawson/2500351,"Dawson, Phil",K,1999,Cleveland Browns,15,43,"2,308",0,53.7,2,4.7,37,17.3,0,4,1
louieaguiar/2499367,"Aguiar, Louie",,2000,Chicago Bears,9,--,--,--,--,--,--,--,--,--,--,--
louieaguiar/2499367,"Aguiar, Louie",,1999,Green Bay Packers,15,--,--,--,--,--,--,--,--,--,--,--
louieaguiar/2499367,"Aguiar, Louie",,1998,Kansas City Chiefs,16,31,"1,994",0,64.3,6,19.4,25,22.7,0,1,0
louieaguiar/2499367,"Aguiar, Louie",,1997,Kansas City Chiefs,16,6,365,0,60.8,0,0,6,23.8,0,0,0
louieaguiar/2499367,"Aguiar, Louie",,1996,Kansas City Chiefs,16,19,"1,149",0,60.5,0,0,18,18.2,0,1,1
louieaguiar/2499367,"Aguiar, Louie",,1995,Kansas City Chiefs,16,--,--,--,--,--,--,--,--,--,--,--
louieaguiar/2499367,"Aguiar, Louie",,1994,Kansas City Chiefs,16,19,"1,166",0,61.4,1,5.3,18,21.4,0,0,0
louieaguiar/2499367,"Aguiar, Louie",,1993,New York Jets,16,50,"2,907",4,58.1,8,16,37,19.8,0,1,0
louieaguiar/2499367,"Aguiar, Louie",,1992,New York Jets,16,58,"3,174",4,54.7,12,20.7,33,16.7,0,2,1
louieaguiar/2499367,"Aguiar, Louie",,1991,New York Jets,16,62,0,2,0,4,6.5,0,--,0,1,0
raulallegre/2499394,"Allegre, Raul",,1991,New York Jets,1,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1991,New York Giants,3,10,0,0,0,1,10,0,--,0,0,0
raulallegre/2499394,"Allegre, Raul",,1990,New York Giants,3,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1989,New York Giants,10,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1988,New York Giants,6,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1987,New York Giants,12,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1986,New York Giants,13,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1985,Indianapolis Colts,16,--,--,--,--,--,--,--,--,--,--,--
raulallegre/2499394,"Allegre, Raul",,1984,Indianapolis Colts,12,--,--,--,--,--,--,--,--,--,--,--
